REGION,YEAR,VALUE
GLOBAL,2021,391.89768519581514
GLOBAL,2022,372.21251218921526
GLOBAL,2023,366.6152075972182
GLOBAL,2024,336.3087843903623
GLOBAL,2025,309.96304244220426
GLOBAL,2026,754.8077817491004
GLOBAL,2027,471.2838970776895
GLOBAL,2028,270.115417667704
GLOBAL,2029,248.27746579149579
GLOBAL,2030,227.53858786554966
GLOBAL,2031,218.3287606414522
GLOBAL,2032,224.48794603482645
GLOBAL,2033,181.1158847677366
GLOBAL,2034,164.82620287766753
GLOBAL,2035,149.81813666849442
GLOBAL,2036,145.05029145650974
GLOBAL,2037,131.47652001825696
GLOBAL,2038,118.79548356452977
GLOBAL,2039,107.45617736996722
GLOBAL,2040,134.60091130439258
GLOBAL,2041,90.77382888258705
GLOBAL,2042,81.79069750390677
GLOBAL,2043,73.30577081674865
GLOBAL,2044,65.5563387011562
GLOBAL,2045,58.457429611032964
GLOBAL,2046,52.70279188127639
GLOBAL,2047,46.41241398727949
GLOBAL,2048,40.6703172762378
GLOBAL,2049,35.3410922623339
GLOBAL,2050,30.414972856403676
