REGION,STORAGE,VALUE
GLOBAL,LDSARGXX01,0
GLOBAL,LDSBOLXX01,0
GLOBAL,LDSBRAXX01,0
GLOBAL,LDSCHLXX01,0
GLOBAL,LDSCOLXX01,0
GLOBAL,LDSCRIXX01,0
GLOBAL,LDSDOMXX01,0
GLOBAL,LDSECUXX01,0
GLOBAL,LDSGTMXX01,0
GLOBAL,LDSHNDXX01,0
GLOBAL,LDSHTIXX01,0
GLOBAL,LDSJAMXX01,0
GLOBAL,LDSMEXXX01,0
GLOBAL,LDSNICXX01,0
GLOBAL,LDSPANXX01,0
GLOBAL,LDSPERXX01,0
GLOBAL,LDSPRYXX01,0
GLOBAL,LDSSLVXX01,0
GLOBAL,LDSURYXX01,0
GLOBAL,SDSARGXX01,0
GLOBAL,SDSBOLXX01,0
GLOBAL,SDSBRAXX01,0
GLOBAL,SDSCHLXX01,0
GLOBAL,SDSCOLXX01,0
GLOBAL,SDSCRIXX01,0
GLOBAL,SDSDOMXX01,0
GLOBAL,SDSECUXX01,0
GLOBAL,SDSGTMXX01,0
GLOBAL,SDSHNDXX01,0
GLOBAL,SDSHTIXX01,0
GLOBAL,SDSJAMXX01,0
GLOBAL,SDSMEXXX01,0
GLOBAL,SDSNICXX01,0
GLOBAL,SDSPANXX01,0
GLOBAL,SDSPERXX01,0
GLOBAL,SDSPRYXX01,0
GLOBAL,SDSSLVXX01,0
GLOBAL,SDSURYXX01,0
