REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
GLOBAL,PWRLDSARGXX01,LDSARGXX01,1,0.0
GLOBAL,PWRLDSARGXX01,LDSARGXX01,2,1.0
GLOBAL,PWRLDSBOLXX01,LDSBOLXX01,1,0.0
GLOBAL,PWRLDSBOLXX01,LDSBOLXX01,2,1.0
GLOBAL,PWRLDSBRACN01,LDSBRACN01,1,0.0
GLOBAL,PWRLDSBRACN01,LDSBRACN01,2,1.0
GLOBAL,PWRLDSBRACW01,LDSBRACW01,1,0.0
GLOBAL,PWRLDSBRACW01,LDSBRACW01,2,1.0
GLOBAL,PWRLDSBRANE01,LDSBRANE01,1,0.0
GLOBAL,PWRLDSBRANE01,LDSBRANE01,2,1.0
GLOBAL,PWRLDSBRANW01,LDSBRANW01,1,0.0
GLOBAL,PWRLDSBRANW01,LDSBRANW01,2,1.0
GLOBAL,PWRLDSBRASE01,LDSBRASE01,1,0.0
GLOBAL,PWRLDSBRASE01,LDSBRASE01,2,1.0
GLOBAL,PWRLDSBRASO01,LDSBRASO01,1,0.0
GLOBAL,PWRLDSBRASO01,LDSBRASO01,2,1.0
GLOBAL,PWRLDSBRAWE01,LDSBRAWE01,1,0.0
GLOBAL,PWRLDSBRAWE01,LDSBRAWE01,2,1.0
GLOBAL,PWRLDSCHLXX01,LDSCHLXX01,1,0.0
GLOBAL,PWRLDSCHLXX01,LDSCHLXX01,2,1.0
GLOBAL,PWRLDSCOLXX01,LDSCOLXX01,1,0.0
GLOBAL,PWRLDSCOLXX01,LDSCOLXX01,2,1.0
GLOBAL,PWRLDSCRIXX01,LDSCRIXX01,1,0.0
GLOBAL,PWRLDSCRIXX01,LDSCRIXX01,2,1.0
GLOBAL,PWRLDSDOMXX01,LDSDOMXX01,1,0.0
GLOBAL,PWRLDSDOMXX01,LDSDOMXX01,2,1.0
GLOBAL,PWRLDSECUXX01,LDSECUXX01,1,0.0
GLOBAL,PWRLDSECUXX01,LDSECUXX01,2,1.0
GLOBAL,PWRLDSGTMXX01,LDSGTMXX01,1,0.0
GLOBAL,PWRLDSGTMXX01,LDSGTMXX01,2,1.0
GLOBAL,PWRLDSHNDXX01,LDSHNDXX01,1,0.0
GLOBAL,PWRLDSHNDXX01,LDSHNDXX01,2,1.0
GLOBAL,PWRLDSHTIXX01,LDSHTIXX01,1,0.0
GLOBAL,PWRLDSHTIXX01,LDSHTIXX01,2,1.0
GLOBAL,PWRLDSJAMXX01,LDSJAMXX01,1,0.0
GLOBAL,PWRLDSJAMXX01,LDSJAMXX01,2,1.0
GLOBAL,PWRLDSMEXXX01,LDSMEXXX01,1,0.0
GLOBAL,PWRLDSMEXXX01,LDSMEXXX01,2,1.0
GLOBAL,PWRLDSNICXX01,LDSNICXX01,1,0.0
GLOBAL,PWRLDSNICXX01,LDSNICXX01,2,1.0
GLOBAL,PWRLDSPANXX01,LDSPANXX01,1,0.0
GLOBAL,PWRLDSPANXX01,LDSPANXX01,2,1.0
GLOBAL,PWRLDSPERXX01,LDSPERXX01,1,0.0
GLOBAL,PWRLDSPERXX01,LDSPERXX01,2,1.0
GLOBAL,PWRLDSPRYXX01,LDSPRYXX01,1,0.0
GLOBAL,PWRLDSPRYXX01,LDSPRYXX01,2,1.0
GLOBAL,PWRLDSSLVXX01,LDSSLVXX01,1,0.0
GLOBAL,PWRLDSSLVXX01,LDSSLVXX01,2,1.0
GLOBAL,PWRLDSURYXX01,LDSURYXX01,1,0.0
GLOBAL,PWRLDSURYXX01,LDSURYXX01,2,1.0
GLOBAL,PWRSDSARGXX01,SDSARGXX01,1,0.0
GLOBAL,PWRSDSARGXX01,SDSARGXX01,2,1.0
GLOBAL,PWRSDSBOLXX01,SDSBOLXX01,1,0.0
GLOBAL,PWRSDSBOLXX01,SDSBOLXX01,2,1.0
GLOBAL,PWRSDSBRACN01,SDSBRACN01,1,0.0
GLOBAL,PWRSDSBRACN01,SDSBRACN01,2,1.0
GLOBAL,PWRSDSBRACW01,SDSBRACW01,1,0.0
GLOBAL,PWRSDSBRACW01,SDSBRACW01,2,1.0
GLOBAL,PWRSDSBRANE01,SDSBRANE01,1,0.0
GLOBAL,PWRSDSBRANE01,SDSBRANE01,2,1.0
GLOBAL,PWRSDSBRANW01,SDSBRANW01,1,0.0
GLOBAL,PWRSDSBRANW01,SDSBRANW01,2,1.0
GLOBAL,PWRSDSBRASE01,SDSBRASE01,1,0.0
GLOBAL,PWRSDSBRASE01,SDSBRASE01,2,1.0
GLOBAL,PWRSDSBRASO01,SDSBRASO01,1,0.0
GLOBAL,PWRSDSBRASO01,SDSBRASO01,2,1.0
GLOBAL,PWRSDSBRAWE01,SDSBRAWE01,1,0.0
GLOBAL,PWRSDSBRAWE01,SDSBRAWE01,2,1.0
GLOBAL,PWRSDSCHLXX01,SDSCHLXX01,1,0.0
GLOBAL,PWRSDSCHLXX01,SDSCHLXX01,2,1.0
GLOBAL,PWRSDSCOLXX01,SDSCOLXX01,1,0.0
GLOBAL,PWRSDSCOLXX01,SDSCOLXX01,2,1.0
GLOBAL,PWRSDSCRIXX01,SDSCRIXX01,1,0.0
GLOBAL,PWRSDSCRIXX01,SDSCRIXX01,2,1.0
GLOBAL,PWRSDSDOMXX01,SDSDOMXX01,1,0.0
GLOBAL,PWRSDSDOMXX01,SDSDOMXX01,2,1.0
GLOBAL,PWRSDSECUXX01,SDSECUXX01,1,0.0
GLOBAL,PWRSDSECUXX01,SDSECUXX01,2,1.0
GLOBAL,PWRSDSGTMXX01,SDSGTMXX01,1,0.0
GLOBAL,PWRSDSGTMXX01,SDSGTMXX01,2,1.0
GLOBAL,PWRSDSHNDXX01,SDSHNDXX01,1,0.0
GLOBAL,PWRSDSHNDXX01,SDSHNDXX01,2,1.0
GLOBAL,PWRSDSHTIXX01,SDSHTIXX01,1,0.0
GLOBAL,PWRSDSHTIXX01,SDSHTIXX01,2,1.0
GLOBAL,PWRSDSJAMXX01,SDSJAMXX01,1,0.0
GLOBAL,PWRSDSJAMXX01,SDSJAMXX01,2,1.0
GLOBAL,PWRSDSMEXXX01,SDSMEXXX01,1,0.0
GLOBAL,PWRSDSMEXXX01,SDSMEXXX01,2,1.0
GLOBAL,PWRSDSNICXX01,SDSNICXX01,1,0.0
GLOBAL,PWRSDSNICXX01,SDSNICXX01,2,1.0
GLOBAL,PWRSDSPANXX01,SDSPANXX01,1,0.0
GLOBAL,PWRSDSPANXX01,SDSPANXX01,2,1.0
GLOBAL,PWRSDSPERXX01,SDSPERXX01,1,0.0
GLOBAL,PWRSDSPERXX01,SDSPERXX01,2,1.0
GLOBAL,PWRSDSPRYXX01,SDSPRYXX01,1,0.0
GLOBAL,PWRSDSPRYXX01,SDSPRYXX01,2,1.0
GLOBAL,PWRSDSSLVXX01,SDSSLVXX01,1,0.0
GLOBAL,PWRSDSSLVXX01,SDSSLVXX01,2,1.0
GLOBAL,PWRSDSURYXX01,SDSURYXX01,1,0.0
GLOBAL,PWRSDSURYXX01,SDSURYXX01,2,1.0
